,파일명,주제,국가,연도
1,A Decade of Social Protection Development in Selected Asian Countries.pdf,"사회보장 및 복지정책, 고령화 및 인구 구조 ","동아시아·태평양, 남아시아, 중앙아시아 및 유라시아",2017
2,A Disease-based Comparison of Health Systems.pdf,"보건의료 시스템 및 R&D, 고령화·인구 구조 변화, 데이터와 기술 기반 정책","동아시아·태평양, 유럽, 북아메리카",2003
3,A Good Life in Old Age.pdf,장기요양 및 돌봄 정책,"동아시아·태평양, 유럽, 북아메리카",2013
4,Access and Cost of Education and Health Services Preparing Regions for Demographic Change.pdf,"보건의료 시스템 및 R&D, 고령화·인구 구조 변화, 장기요양 및 돌봄 정책",유럽,2021
5,Addressing Dementia.pdf,"치매 및 정신건강 정책, 보건의료 시스템 및 R&D, 데이터와 기술 기반 정책","북아메리카, 유럽, 동아시아·태평양",2015
8,Beyond Applause Improving Working Conditions in Long-Term Care.pdf,"장기요양 및 돌봄 정책, 노동시장 및 고용정책","동아시아·태평양, 유럽, 북아메리카, 중동",2023
9,Biotechnology and Healthy Ageing.pdf,"보건의료 시스템 및 R&D, 고령화·인구 구조 변화","동아시아·태평양, 유럽, 북아메리카, 중동",2002
10,Building Inclusive Labour Markets in Kazakhstan.pdf,"노동시장 및 고용정책, 사회보장과 복지정책","중앙아시아, OECD",2017
11,Care Needed.pdf,"치매 및 정신건강 정책, 장기요양 및 돌봄 정책, 고령화·인구 구조 변화","유럽, 북아메리카",2018
12,Dementia Research and Care.pdf,"치매 및 정신건강 정책, 데이터와 기술 기반 정책","동아시아·태평양, 유럽, 북아메리카, 중동",2015
13,Des réformes pour une société vieillissante.pdf,"고령화·인구 구조 변화, 노동시장 및 고용정책, 장기요양 및 돌봄 정책","동아시아·태평양, 유럽, 북아메리카, 중앙아시아",2000
14,"Disability, Work and Inclusion in Ireland Engaging and Supporting Employers.pdf","노동시장 및 고용정책, 사회보장과 복지정책","유럽, OECD",2021
15,"Disability, Work and Inclusion Mainstreaming in All Policies and Practices.pdf",노동시장 및 고용정책,"유럽, 북아메리카, 동아시아·태평양",2022
16,Does Healthcare Deliver Results from the Patient-Reported Indicator Surveys (PaRIS).pdf,보건의료 시스템 및 R&D,"동아시아·태평양, 유럽, 중동, 북아메리카",2025
17,"Facing the Future: Korea’s Family, Pension and Health Policy Challenge.pdf","사회보장과 복지정책, 고령화·인구 구조 변화, 장기요양 및 돌봄 정책","동아시아·태평양, OECD",2007
18,Health at a Glance Europe 2024 State of Health in the EU Cycle.pdf,보건의료 시스템 및 R&D,유럽,2024
20,Health at a Glance Latin America and the Caribbean 2023.pdf,보건의료 시스템 및 R&D,중남미,2023
21,Health Data Governance for the Digital Age.pdf,데이터와 기술 기반 정책,"동아시아·태평양, 유럽, 북아메리카, 중동, 러시아",2022
22,"Health for the People, by the People.pdf","보건의료 시스템 및 R&D, 데이터와 기술 기반 정책","동아시아·태평양, 유럽, 북아메리카, 중남미, 중동",2021
23,Health Reform Meeting the Challenge of Ageing and Multiple Morbidities.pdf,"고령화·인구 구조 변화, 보건의료 시스템 및 R&D","유럽, 동아시아·태평양, 북아메리카, OECD",2011
25,Help Wanted.pdf,"장기요양 및 돌봄 정책, 노동시장 및 고용정책","동아시아·태평양, 유럽, 북아메리카",2011
26,How's Life 2024 Well-being and Resilience in Times of Crisis.pdf,사회보장과 복지정책,"동아시아·태평양, 유럽, 북아메리카, 중남미, 중동",2024
27,Improving Long-Term Care in Croatia.pdf,장기요양 및 돌봄 정책,"유럽, 북아메리카",2023
28,Integrating Services for Older People in Lithuania.pdf,"장기요양 및 돌봄 정책, 경제정책과 재정지속성","유럽, 동아시아·태평양",2023
29,Is Care Affordable for Older People.pdf,"장기요양 및 돌봄 정책, 경제정책과 재정지속성","유럽, 동아시아·태평양",2022
30,Japan Boosting Growth and Well-being in an Ageing Society.pdf,"경제정책과 재정지속성, 고령화·인구 구조 변화",동아시아·태평양,2016
31,Labour Market and Social Policies in the Baltic Countries.pdf,"노동시장 및 고용정책, 사회보장과 복지정책, 경제정책과 재정지속성",유럽,2003
33,Long-term Care for Older People.pdf,"장기요양 및 돌봄 정책, 사회보장과 복지정책",OECD,2005
34,Maintaining Prosperity in an Ageing Society.pdf,"고령화·인구 구조 변화, 사회보장과 복지정책",OECD,1998
35,Measuring Expenditure on Health-related R&D.pdf,보건의료 시스템 및 R&D,OECD,2001
36,Mental Health and Work New Zealand.pdf,"치매 및 정신건강 정책, 노동시장 및 고용정책, 사회보장과 복지정책",동아시아·태평양,2018
37,"OECD Observer, Volume 1997 Issue 6.pdf",노동시장 및 고용정책,OECD,1997
38,"OECD Observer, Volume 2003 Issue 4.pdf",노동시장 및 고용정책,OECD,2003
39,OECD Pensions Outlook 2012.pdf,고령화·인구 구조 변화,OECD,2012
40,OECD Pensions Outlook 2016.pdf,고령화·인구 구조 변화,OECD,2016
41,OECD Pensions Outlook 2018.pdf,"고령화·인구 구조 변화, 경제정책과 재정지속성",OECD,2018
42,OECD Reviews of Health Systems Brazil 2021.pdf,보건의료 시스템 및 R&D,중남미,2021
43,OECD Reviews of Risk Management Policies Sweden 2007.pdf,"고령화·인구 구조 변화, 보건의료 시스템 및 R&D",유럽,2007
44,Policies for a revitalisation of Japan.pdf,경제정책과 재정지속성,동아시아·태평양,2013
46,Preventing Ageing Unequally.pdf,"고령화·인구 구조 변화, 사회보장과 복지정책",OECD,2017
47,Preventing Harmful Alcohol Use.pdf,보건의료 시스템 및 R&D,OECD,2021
48,Pricing Long-term Care for Older Persons.pdf,"장기요양 및 돌봄 정책, 경제정책과 재정지속성, 사회보장과 복지정책",OECD,2021
49,Reforms for an Ageing Society.pdf,고령화·인구 구조 변화,OECD,2000
50,"Tackling the Impact of Cancer on Health, the Economy and Society.pdf",보건의료 시스템 및 R&D,OECD,2024
51,The Future for Low-Educated Workers in Belgium.pdf,노동시장 및 고용정책,유럽,2020
52,The Supply of Medical Isotopes.pdf,보건의료 시스템 및 R&D,OECD,2019
53,Time for Better Care at the End of Life.pdf,"보건의료 시스템 및 R&D, 장기요양 및 돌봄 정책, 고령화·인구 구조 변화",OECD,2023
54,What Do We Know about Young People’s Interest in Health Careers.pdf,"보건의료 시스템 및 R&D, 노동시장 및 고용정책",OECD,2025
55,Who Cares Attracting and Retaining Care Workers for the Elderly.pdf,"장기요양 및 돌봄 정책, 고령화·인구 구조 변화",OECD,2020
